accuracy_ga,precision_ga,recall_ga,f1_ga,auc_ga,model,setting_ga,accuracy_no_ga,precision_no_ga,recall_no_ga,f1_no_ga,auc_no_ga,setting_no_ga,delta_accuracy,delta_precision,delta_recall,delta_f1,delta_auc
0.9985711302359833,0.9972157670890516,0.9999340514398769,0.9985730593607306,0.9998529660197352,ann,WITH_GA,0.9997252173530737,0.9998460828074496,0.9996043086392614,0.9997251811056513,0.9999301942563541,WITHOUT_GA,-0.0011540871170904188,-0.002630315718398002,0.00032974280061548455,-0.0011521217449207422,-7.722823661893141e-05
0.9764566228113563,0.9764144722380973,0.9765003297428007,0.976457399103139,0.9959815215007853,decision_tree,WITH_GA,0.9997032347413196,0.999846076038437,0.9995603429325126,0.9997031890685634,0.9996611332352033,WITHOUT_GA,-0.023246611929963357,-0.023431603800339706,-0.02306001318971196,-0.023245789965424368,-0.003679611734417998
0.9499455930359086,0.968976262487398,0.9296548692020224,0.9489083851280096,0.986948939757525,logistic_regression,WITH_GA,0.9968564865191634,0.9982804232804233,0.9954275664981315,0.9968519537699505,0.9997273417758744,WITHOUT_GA,-0.04691089348325472,-0.029304160793025336,-0.06577269729610902,-0.04794356864194094,-0.012778402018349455
0.9999120695529836,0.999824168095301,1.0,0.9999120763177561,0.9999874064069423,random_forest,WITH_GA,0.999780173882459,0.9999560188239434,0.9996043086392614,0.999780132799789,0.9999986667540292,WITHOUT_GA,0.0001318956705246288,-0.0001318507286424131,0.00039569136073858147,0.0001319435179671924,-1.126034708687218e-05
0.9215550499554852,0.977490600333657,0.8629808749175643,0.9166734772507035,0.9730157360378644,naive_bayes,WITH_GA,0.9308317121157165,0.9796148104642342,0.8799736205759507,0.9271247090431137,0.9886744135006759,WITHOUT_GA,-0.009276662160231264,-0.0021242101305771754,-0.016992745658386488,-0.010451231792410254,-0.015658677462811466
